TITLE;DIRECTOR;YEAR;REVIEW;GENRE;Runtime;FORMAT;DATE;REWATCH;COMMENTS
Godzilla vs. Kong;Adam Wingard;2021;65;Action/Sci-fi/Thriller;01:53;HBO;1-1-2023;;Goede actie maar verhaal is minder
The Guilty;Antoine Fuqua;2021;60;Thriller/Crime;01:30;Netflix;1-1-2023;;"Film speelt zich af in een kamer; ik zat niet echt goed op te letten"
Everything Everywhere All at Once;Dan Kwan & Daniel Scheinert;2022;80;Action/Adventure/Comedy;02:20;Prime;3-1-2023;;leuk
Logan;James Mangold;2017;85;Action/Drama/Sci-fi;02:17;Disney+;5-1-2023;;Goede film. Actie en verhaal waren goed. Badguy minder sterk
Ford v Ferrari;James Mangold;2019;80;Drama/Sport;02:37;Disney+;6-1-2023;;De race was goed
John Wick;Chad Stahelski;2014;70;Action/Crime/Thriller;01:41;HBO;9-1-2023;X;actie actie en nog meer actie
my hero academia world heroes' mission;Kenji Nagasaki;2021;65;Animation/Action/Adventure;01:41;Online;12-2-2023;;
John Wick 2; Chad Stahelski;2017;70;Action/Crime/Thriller;02:02;Netflix;21-3-2023;;
John Wick 3; Chad Stahelski;2019;75;Action/Crime/Thriller;02:10;Netflix;23-3-2023;;
The Fast and the Furious;Rob Cohen;2001;60;Action/Crime/Thriller;01:46;Online;24-3-2023;;
John Wick 4; Chad Stahelski;2023;77;Action/Crime/Thriller;02:49;Bioscoop;26-3-2023;;
The Super Mario Bros. Movie;Aaron Horvath & Michael Jelenic;2023;75;Animation/Adventure/Comedy;01:32;Online;16-5-2023;;
guardians of the galaxy 3;James Gunn;2023;85;Action/Adventure/Comedy;02:30;Bioscoop;25-5-2023;;
Ant-Man and the Wasp: Quantumania;Peyton Reed;2023;50;Action/Adventure/Comedy;02:04;Disney+;26-5-2023;;
The Menu;Mark Mylod;2022;80;Comedy/Horror/Thriller ;01:47;Disney+;4-6-2023;;
Spider-Man: Across the Spider-Verse;Joaquim Dos Santos & Kemp Powers & justin k thompson;2023;85;Animation/Action/Adventure;02:20;Bioscoop;8-7-2023;;
Mission: Impossible - Dead Reckoning Part One;Christopher McQuarrie;2023;80;Action/Adventure/Thriller;02:43;Bioscoop;17-7-2023;;
The Flash;Andy Muschietti;2023;55;Action/Adventure/Fantasy;02:24;Online;25-7-2023;;
Gran Turismo;Neill Blomkamp;2023;70;Action/Adventure/Drama;02:15;Bioscoop;11-8-2023;;
Saw;James Wan;2004;70;Horror/Mystery/Thriller;01:43;Prime;1-10-2023;X;
Saw 2;Darren Lynn Bousman;2005;65;Horror/Mystery/Thriller;01:33;Online;3-10-2023;X;
Saw X;Kevin Greutert;2023;70;Horror/Mystery/Thriller;01:58;Online;28-10-2023;;
Nightcrawler ;Dan Gilroy;2014;80;Crime/Drama/Thriller;01:57;Online;21-11-2023;;
The Departed;Martin Scorsese;2006;80;Crime/Drama/Thriller;02:31;Prime;25-11-2023;;
shrek;Andrew Adamson & Vicky Jenson;2001;60;Animation/Adventure/Comedy;01:30;Prime;26-11-2023;;
Paddington;Paul King;2014;70;Adventure/Comedy/Family;01:35;HBO;9-12-2023;;
Arrival;Denis Villeneuve;2016;70;Drama/Mystery/Sci-Fi;01:56;Prime;10-12-2023;;
The Talented Mr. Ripley;Anthony Minghella;1999;75;Crime/Drama/Thriller;02:19;Netflix;12-12-2023;;
The Covenant;Guy Ritchie;2023;75;Action/Drama/Thriller;02:03;Prime;15-12-2023;;
